000191103;00;20;001;0000004,80;010;0000048,00;002,40;0000061,49;BB 30 GG DF         ;
000191103;00;20;001;0000004,48;025;0000112,00;002,40;0000139,57;BB 30 GG DF         ;
000191103;00;20;001;0000004,06;050;0000203,00;002,40;0000250,59;BB 30 GG DF         ;
000191103;00;20;002;0000004,90;010;0000098,00;002,40;0000122,49;BB 30 GG DF         ;
000191103;00;20;002;0000004,56;025;0000228,00;002,40;0000281,09;BB 30 GG DF         ;
000191103;00;20;002;0000003,76;050;0000376,00;002,40;0000461,65;BB 30 GG DF         ;
000191103;00;32;001;0000000,00;010;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000191103;00;32;001;0000000,00;025;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000191103;00;32;001;0000000,00;050;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000192003;00;20;001;0000005,60;010;0000056,00;002,40;0000071,25;BB A VISTA - ATTESA ;
000192003;00;20;001;0000005,20;025;0000130,00;002,40;0000161,53;BB A VISTA - ATTESA ;
000192003;00;20;001;0000004,70;050;0000235,00;002,40;0000289,63;BB A VISTA - ATTESA ;
000195503;00;20;001;0000005,30;010;0000053,00;002,40;0000067,59;BONIFICO A VISTA    ;
000195503;00;20;001;0000004,96;025;0000124,00;002,40;0000154,21;BONIFICO A VISTA    ;
000195503;00;20;001;0000004,46;050;0000223,00;002,40;0000274,99;BONIFICO A VISTA    ;
000202903;00;20;001;0000004,80;010;0000048,00;002,40;0000061,49;CONTRASSEGNO        ;
000202903;00;20;001;0000004,48;025;0000112,00;002,40;0000139,57;CONTRASSEGNO        ;
000202903;00;20;001;0000004,06;050;0000203,00;002,40;0000250,59;CONTRASSEGNO        ;
000202903;00;31;001;0000009,35;010;0000093,50;002,40;0000117,00;CONTRASSEGNO        ;
000202903;00;31;001;0000009,20;025;0000230,00;002,40;0000283,53;CONTRASSEGNO        ;
000202903;00;31;001;0000009,00;050;0000450,00;002,40;0000551,93;CONTRASSEGNO        ;
000207803;00;20;001;0000004,80;010;0000048,00;002,40;0000061,49;BONIFICO A VISTA    ;
000207803;00;20;001;0000004,48;025;0000112,00;002,40;0000139,57;BONIFICO A VISTA    ;
000207803;00;20;001;0000004,06;050;0000203,00;002,40;0000250,59;BONIFICO A VISTA    ;
000222803;00;20;001;0000004,90;010;0000049,00;002,40;0000062,71;CONTRASSEGNO        ;
000222803;00;20;001;0000004,56;025;0000114,00;002,40;0000142,01;CONTRASSEGNO        ;
000222803;00;20;001;0000004,12;050;0000206,00;002,40;0000254,25;CONTRASSEGNO        ;
000222803;00;20;004;0000005,00;010;0000200,00;002,40;0000246,93;CONTRASSEGNO        ;
000222803;00;20;004;0000004,68;025;0000468,00;002,40;0000573,89;CONTRASSEGNO        ;
000222803;00;20;004;0000003,78;050;0000756,00;002,40;0000925,25;CONTRASSEGNO        ;
000222803;00;32;001;0000000,00;010;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000222803;00;32;001;0000000,00;025;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000222803;00;32;001;0000000,00;050;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000233103;00;20;001;0000005,10;010;0000051,00;002,40;0000065,15;BB 30 GG DF         ;
000233103;00;20;001;0000004,76;025;0000119,00;002,40;0000148,11;BB 30 GG DF         ;
000233103;00;20;001;0000004,28;050;0000214,00;002,40;0000264,01;BB 30 GG DF         ;
000233103;00;31;001;0000008,75;010;0000087,50;002,40;0000109,68;BB A VISTA - ATTESA ;
000233103;00;31;001;0000008,55;025;0000213,75;002,40;0000263,70;BB A VISTA - ATTESA ;
000233103;00;31;001;0000008,35;050;0000417,50;002,40;0000512,28;BB A VISTA - ATTESA ;
000235403;00;20;001;0000004,90;010;0000049,00;002,40;0000062,71;BB A VISTA - ATTESA ;
000235403;00;20;001;0000004,56;025;0000114,00;002,40;0000142,01;BB A VISTA - ATTESA ;
000235403;00;20;001;0000004,12;050;0000206,00;002,40;0000254,25;BB A VISTA - ATTESA ;
000249203;00;20;001;0000005,00;010;0000050,00;002,40;0000063,93;CONTRASSEGNO        ;
000249203;00;20;001;0000004,68;025;0000117,00;002,40;0000145,67;CONTRASSEGNO        ;
000249203;00;20;001;0000003,78;050;0000189,00;002,40;0000233,51;CONTRASSEGNO        ;
000249203;00;32;001;0000009,40;010;0000094,00;002,40;0000117,61;CONTRASSEGNO        ;
000249203;00;32;001;0000009,10;025;0000227,50;002,40;0000280,48;CONTRASSEGNO        ;
000249203;00;32;001;0000008,70;050;0000435,00;002,40;0000533,63;CONTRASSEGNO        ;
000249203;00;33;001;0000009,80;010;0000098,00;002,40;0000122,49;CONTRASSEGNO        ;
000249203;00;33;001;0000009,40;025;0000235,00;002,40;0000289,63;CONTRASSEGNO        ;
000249203;00;33;001;0000009,00;050;0000450,00;002,40;0000551,93;CONTRASSEGNO        ;
000254903;00;20;001;0000005,00;010;0000050,00;002,40;0000063,93;BB A VISTA - ATTESA ;
000254903;00;20;001;0000004,68;025;0000117,00;002,40;0000145,67;BB A VISTA - ATTESA ;
000254903;00;20;001;0000003,78;050;0000189,00;002,40;0000233,51;BB A VISTA - ATTESA ;
000254903;00;30;001;0000008,35;010;0000083,50;002,40;0000104,80;CONTRASSEGNO        ;
000254903;00;30;001;0000008,30;025;0000207,50;002,40;0000256,08;CONTRASSEGNO        ;
000254903;00;30;001;0000008,00;050;0000400,00;002,40;0000490,93;CONTRASSEGNO        ;
000254903;00;32;001;0000000,00;010;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000254903;00;32;001;0000000,00;025;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000254903;00;32;001;0000000,00;050;0000000,00;000,00;0000000,00;CONTRASSEGNO        ;
000259903;00;20;001;0000004,90;010;0000049,00;002,40;0000062,71;CONTRASSEGNO        ;
000259903;00;20;001;0000004,56;025;0000114,00;002,40;0000142,01;CONTRASSEGNO        ;
000259903;00;20;001;0000004,12;050;0000206,00;002,40;0000254,25;CONTRASSEGNO        ;
000265003;00;20;001;0000004,90;010;0000049,00;002,40;0000062,71;BB A VISTA - ATTESA ;
