Codice;Dest.;Abbonamento;Da Kg.;A Kg.;Quantita' lettere di vettura;Da Kg.;A Kg.;Quantita' lettere di vettura;Da Kg.;A Kg.;Quantita' lettere di vettura;Da Kg.;A Kg.;Quantita' lettere di vettura;Da Kg.;A Kg.;Quantita' lettere di vettura;Limite di peso compreso nelle lettere     di vettura oltre a E. a KG/FRAZIONE   ;Costo E. a KG/FRAZIONE  ;Costo E. lettera di vettura integrativa;Costo in % riconsegna;Costo E. prova di consegna;Costo E. giacenza a giorno;Costo E. dossier;Costo E. fermo deposito al giorno;Quantitativo massimo colli;Quantitativo peso in KG per volume al metro cubo ;Coefficiente indice calcolo peso volumetrico;Costo E. ritorno al mittente;Costo in E. ritiro porto assegnato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Limite di peso compreso nei costi accessori oltre E. a KG/FRAZIONE;Costo E. a KG/frazione di KG;Costo E. supplemento cap disagiati;Costo E. resa contrassegno minimo;Massimale E. compreso nella tariffa minima;Costo in % da applicare sul valore dichiarato della merce;Indicativo misure colli Over da CM;Indicativo misure colli Over a CM;Costo E. colli Over;Costo E. supplemento a MT/frazione di MT colli Over;Indicativo misure bancali Over CM;Costo E. supplemento bancali Over;Costo in % assicurazione sul valore dichiarato;Valore E. assicurazione minimo;Valore E. massimo assicurabile;Importo in E. franchigia;
000254903;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00000,00;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00600,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000265003;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00000,00;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00600,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000270503;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00000,00;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00600,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000287803;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00000,00;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00600,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000294103;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00000,00;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00600,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000294103;00;33;0030,100;0060,000;0001;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00000,00;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0030,000;00002,50;0030,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00600,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000339303;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00000,00;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00600,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000347903;00;30;0003,100;0010,000;0001;0010,100;0020,000;0002;0020,100;0030,000;0003;0030,100;0040,000;0004;0040,100;0050,000;0005;0050,100;00000,90;00007,13;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0300,000;03333,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0003,000;00001,80;0003,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000347903;00;31;0010,100;0030,000;0001;0030,100;0050,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0050,100;00000,80;00008,20;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0010,000;00002,00;0010,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000347903;00;33;0030,100;0060,000;0001;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00009,50;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0030,000;00002,50;0030,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000355703;00;30;0003,100;0010,000;0001;0010,100;0020,000;0002;0020,100;0030,000;0003;0030,100;0040,000;0004;0040,100;0050,000;0005;0050,100;00000,90;00007,90;100;00010,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0300,000;03333,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0003,000;00001,80;0003,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000362403;00;31;0010,100;0030,000;0001;0030,100;0050,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0050,100;00000,80;00008,35;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0010,000;00002,00;0010,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000636203;01;31;0010,100;0030,000;0001;0030,100;0050,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0050,100;00000,80;00008,35;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0010,000;00002,00;0010,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000372203;00;30;0003,100;0010,000;0001;0010,100;0020,000;0002;0020,100;0030,000;0003;0030,100;0040,000;0004;0040,100;0050,000;0005;0050,100;00000,90;00008,10;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0300,000;03333,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0003,000;00001,80;0003,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000383903;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000392103;00;30;0003,100;0010,000;0001;0010,100;0020,000;0002;0020,100;0030,000;0003;0030,100;0040,000;0004;0040,100;0050,000;0005;0050,100;00000,90;00007,13;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0300,000;03333,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0003,000;00001,80;0003,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000396603;00;33;0030,100;0060,000;0001;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00008,60;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0030,000;00003,50;0030,100;0050,000;00004,50;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,35;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000399503;00;31;0010,100;0030,000;0001;0030,100;0050,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0050,100;00000,80;00008,80;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0010,000;00002,00;0010,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000399503;00;33;0030,100;0060,000;0001;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00009,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0030,000;00002,50;0030,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000400803;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00008,70;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000400803;00;33;0030,100;0060,000;0001;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00008,70;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0030,000;00002,50;0030,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000415103;00;30;0003,100;0010,000;0001;0010,100;0020,000;0002;0020,100;0030,000;0003;0030,100;0040,000;0004;0040,100;0050,000;0005;0050,100;00000,90;00007,13;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0300,000;03333,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0003,000;00001,80;0003,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000417603;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000495603;01;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000578503;02;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000645903;03;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000418003;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000418803;00;31;0010,100;0030,000;0001;0030,100;0050,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0050,100;00000,80;00008,35;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0010,000;00002,00;0010,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000418803;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00008,70;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000437103;00;32;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;00000,00;00000,00;100;00000,00;00000,00;00000,00;00000,00;                    ;0000,000;05000,00;                              ;02,87;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;00000,00;00000,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000442303;00;30;0003,100;0010,000;0001;0010,100;0020,000;0002;0020,100;0030,000;0003;0030,100;0040,000;0004;0040,100;0050,000;0005;0050,100;00000,90;00006,95;100;00010,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0300,000;03333,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0003,000;00001,80;0003,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
