"Descrizione","CAP","Prov","SCS","Dis"
"MONTICELLO AMIATA","58044","SI","","X"
"MORCA","13019","VC","","X"
"MORTER","39021","BZ","","X"
"MURANO","30141","VE","","X"
"NIBBIANO","29010","PC","","X"
"NUORO (PROVINCIA)","08010","NU","X",""
"OGLIASTRA (POVINCIA)","08037","OG","X",""
"OLBIA TEMPIO (PROVINCIA)","07020","OT","X",""
"OLMI","39040","BZ","","X"
"ORISTANO (PROVINCIA)","08010","OR","X",""
"PACENTRO","67030","AQ","","X"
"PALERMO (PROVINCIA)","90010","PA","X",""
"PALERMO (PROVINCIA)","90121","PA","X",""
"PALERMO E PROVINCIA","90000","PA","X",""
"PANAREA","98050","ME","","X"
"PANEVEGGIO","38037","TN","","X"
"PANTELLERIA","91017","TP","","X"
"PANZA","80075","NA","","X"
"PASCELLATA","64010","TE","","X"
"PASSO COSTALUNGA","38039","TN","","X"
"PASSO DEL BOCCO","38039","GE","","X"
"PASSO DEL TONALE","38029","TN","","X"
"PASSO MENDOLA","38010","BZ","","X"
"PASSO ROLLE","38037","TN","","X"
"PASSO S.PELLEGRINO DI MOENA","38035","TN","","X"
"PELLESTRINA","30126","VE","","X"
"PIANOCONTE","98055","ME","","X"
"PIANOSA","57034","LI","","X"
"PIAZZA BREMBANA","24014","BG","","X"
"PIDEMONTE D'ISCHIA","80077","NA","","X"
"PINO SULLA SPONDA SWL LAGO MAGGIORE","21010","VA","","X"
"POGGIO","57030","LI","","X"
"POMARANCE","56045","PI","","X"
"POMONTE","57030","LI","","X"
"PONZA","04027","LT","","X"
"PORTO AZZURRO","57036","LI","","X"
"PORTOFERRAIO","57037","LI","","X"
"PROCCHIO","57030","LI","","X"
"PROCIDA","80079","NA","","X"
"QUATTROPANI","98055","ME","","X"
"RADINCOLI","53030","SI","","X"
"RAGUSA (PROVINCIA)","97010","RG","X",""
"REGGIO CALABRIA","89010","RC","X",""
"REGGIO CALABRIA (PROVINCIA)","89121","RC","X",""
"RICCIA","86016","CB","","X"
"RIO MARINA","57038","LI","","X"
"RIO NELL'ELBA","57039","LI","","X"
"RIVE","13030","VC","","X"
"ROCCA PIA","67030","AQ","","X"
"ROCCA SANTA MARIA","64010","TE","","X"
"ROCCARAINOLA","80030","NA","","X"
"ROGLIANO","87054","CS","","X"
"RUFFRE'","38010","TN","","X"
"SACCA FISOLA","30133","VE","","X"
"SAINT OYEN","11014","AO","","X"
"SALA BIELLESE","13884","BI","","X"
"SAN BARTOLOMEO IN GALDO","82028","BN","","X"
"SAN BENEDETTO IN PERILLIS","67020","AQ","","X"
"SAN CLEMENTE","30124","VE","","X"
"SAN DOMINO","71040","FG","","X"
"SAN GIOVANNI","57037","LI","","X"
"SAN MARCELLO PISTOIESE","51028","PT","","X"
"SAN MASSIMO","86027","CB","","X"
"SAN PIERO IN CAMPO","57034","LI","","X"
"SAN SEBASTIANO CURONE","15056","AL","","X"
"SANT'ANTUONO D'ISCHIA","80077","NA","","X"
"SANT'ERASMO","30141","VE","","X"
"SANT'ILARIO","57034","LI","","X"
"SANTA CATERINA","39020","BZ","","X"
"SANTA CATERINA VALFURVA","23030","SO","","X"
"SANTA MARINA SALINA","98050","ME","","X"
"SANTO STEFANO DI SESSANIO","67020","AQ","","X"
"SASSARI (PROVINCIA)","07010","SS","X",""
"SAVOIA DI LUCANIA","85050","PZ","","X"
"SCOPELLO","13028","VC","","X"
"SECCHETO","57034","LI","","X"
"SERRARA","80070","SP","","X"
"SESTA GODANO","19020","SP","","X"
"SIRACURA (PROVINCIA)","96010","SR","X",""
"SPEZZANO PICCOLO","87050","CS","","X"
"SPIGNO SATURNIA","04020","LT","","X"
"STILO","89049","RC","","X"
"STROMBOLI","98050","ME","","X"
"TORCELLO","30142","VE","","X"
"TORNIMPARTE","67049","AQ","","X"
"TORRAZZO","13884","BI","","X"
"TRAPANI (PROVINCIA)","91010","TP","X",""
"TREPALLE","23030","SO","","X"
"TRIVENTO","86029","CB","","X"
"USTICA","90010","PA","","X"
"VALLE CASTELLANA","64010","TE","","X"
"VALVESTINO","25080","BS","","X"
"VENEZIA","30124","VE","","X"
"VENEZIA","30133","VE","","X"
"VENEZIA","30141","VE","","X"
"VENEZIA","30142","VE","","X"
"VENEZIA LIDO","30126","VE","","X"
"VENTOTENE","04020","LT","","X"
"VERBICARO","87020","CS","","X"
"VIBO VALENTIO (PROVINCIA)","89812","VV","X",""
"VILLA SANT'ANGELO","67020","AQ","","X"
"VILLENEUVE","11018","AO","","X"
"VULCANO","98050","ME","","X"
"ZUBIENA","13888","BI","","X"
